% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 4 2025, 13:40
% Dimension:          3
% Nodes:              3890
% Expressions:        1
% Description:        Magnetic flux density, z-component
% Length unit:        in
% x                       y                        z                        mf.Bz (T)
-114.3899754208266        0                        5.377779331900673        4.841550320428579E-5
-112.99999999999999       -5.551115123125783E-17   4.098602159687542        -4.588264557200489E-6
-125                      -6.661338147750939E-16   4.470460980874188        2.423923552787097E-5
-117.83384396909427       0                        7.8846575094067095       8.67039114094501E-6
-116.99999999999996       -4.440892098500626E-16   8.03856823326757         -1.3982285248178469E-5
-82.4745837033046         2.3592239273284576E-16   -36.00000000000001       -4.47836697369296E-4
-82.57230258232728        9.020562075079397E-17    -36.257125446054644      9.023532402703261E-5
-82.40090333464553        1.734723475976807E-16    -36.00000000000001       -8.766020600662303E-4
-84.97394456054184        0                        -41.213199704312075      -2.0896748840554814E-4
-90.8392112648688         -2.220446049250313E-16   -45.173044052601824      -1.222124980985665E-5
-88.10927325166494        -4.440892098500626E-16   -50.143785519958755      -8.769108284421778E-5
-91.04654738111378        4.440892098500626E-16    -47.674891804368514      -1.5628052871804234E-4
-91.91897896917405        -2.220446049250313E-16   -54.12531299978734       -8.225400241330372E-5
-91.95338304155918        7.771561172376096E-16    -55.84147869050335       1.5527494821541578E-4
-86.39799967528329        -1.3322676295501878E-15  -54.69176437554317       5.766078295015371E-5
-91.78545212516065        5.551115123125783E-16    -56.47219088472211       1.1617912695362556E-4
-87.36280786328467        6.661338147750939E-16    -63.007342837174264      -8.766956656087593E-6
-83.75110765751089        0                        -45.739855474702225      -1.869018756807946E-4
-83.3280347130954         2.220446049250313E-16    -50.00554584593422       -7.337487595063994E-5
-82.29635623337519        4.440892098500626E-16    -51.15506971216685       -2.0985857420260703E-4
-86.36290045035187        3.3306690738754696E-16   -62.33424159467466       -9.688591646243446E-5
-90.94241778252294        4.440892098500626E-16    -56.393933460734544      9.480428691569562E-5
-83.88751434852549        -4.440892098500626E-16   -56.71578732300779       -5.7376323542994575E-5
-81.75339887827137        3.3306690738754696E-16   -51.90217774397344       9.442070139268935E-6
-80.70596366469712        3.3306690738754696E-16   -60.03790232547908       1.3005984152292765E-5
-90.94063566837917        -2.220446049250313E-16   -67.66394407850765       5.43999501523565E-5
-87.53387673819726        0                        -63.677422181218304      5.409524898296588E-6
-81.01399614825633        -1.1102230246251565E-16  -61.407338917075506      3.305571342292795E-5
-86.32453438633513        -1.1102230246251565E-16  -63.920063527568786      -2.462271200372466E-5
-90.80057225013675        -2.498001805406602E-16   -67.63387585209162       8.868632264896398E-5
-84.51625093725818        -2.220446049250313E-16   -67.99161633641734       -5.462288151720451E-5
-89.79606733616257        4.440892098500626E-16    -75                      -2.907601668267098E-6
-90.95588341305255        -2.3592239273284576E-16  -67.7929258642408        2.0327593670922555E-5
-86.67611490527034        2.220446049250313E-16    -71.27073079385238       2.03661218085786E-5
-80.86191947919619        2.220446049250313E-16    -65.6709763687023        5.398272166276886E-5
-80.99508417020321        1.4210854715202004E-14   -75                      1.4396684008822374E-4
-82.39285486463228        2.498001805406602E-16    -36.08897234565527       -3.5110331839722836E-4
-81.70627760918688        3.3306690738754696E-16   -49.62450177960999       -1.636499494846002E-4
-81.05935569093674        2.220446049250313E-16    -43.66524268724536       1.3330868665080127E-4
-116.99999999999997       0                        8.942845341409543        2.1318638602051652E-5
-123.53479659475008       1.1102230246251565E-16   13.377084905027054       -1.7658042723667427E-5
-120.31688810465127       -2.220446049250313E-16   10.305979070992695       -3.5588544022252525E-5
-117                      8.881784197001252E-16    12.90859289819025        -1.5673750146942322E-5
-125                      -2.220446049250313E-16   13.176700630347735       1.2543410481926395E-5
-125                      0                        10.477439435193281       -3.385865079691076E-5
-114.03268247459653       2.220446049250313E-16    11.850308159982033       -3.0770759596277286E-7
-112.99999999999999       0                        5.870587786231107        -2.7877690856734387E-5
-116.22200713780606       0                        8.348579509322617        2.8539128290850266E-6
-112.99999999999994       -2.220446049250313E-16   10.956451581476143       -4.9280859262722894E-5
-112.99999999999997       0                        15.062009898893415       -5.9501749840510936E-5
-113.78472922686836       2.220446049250313E-16    17.480049042371135       -3.412427881812785E-5
-113                      0                        18.135019352763575       -4.689912316574775E-6
-112.99999999999994       -6.661338147750939E-16   12.113664788441165       -2.275729580160915E-5
-112.71675309581633       0                        3.56391668968467         1.079228222718857E-4
-112.43413308901523       0                        4.056938911530295        8.050673751348671E-5
-108.99999999999999       -3.552713678800501E-15   0                        -4.856624184768066E-5
-111.31614583973746       3.3306690738754696E-16   17.04318210536022        -1.2403567409210306E-4
-110.1016452782651        5.551115123125783E-17    10.994652464528027       6.986234119750539E-5
-108.99999999999999       0                        11.70575502773291        -4.364231350470833E-5
-108.99999999999997       0                        10.677735779742243       -4.505349810163462E-5
-108.99999999999999       0                        9.86359319646574         6.440043285580391E-5
-108.99999999999999       0                        5.391489854969906        1.91176227104395E-6
-75.4607593179711         1.457167719820518E-16    -41.409968916327436      1.0365997890017245E-4
-82.34062932706614        2.636779683484747E-16    -36.00000000000001       -4.685156337861836E-4
-73.65214839919878        -4.440892098500626E-16   -35.14887974157764       0.0011668046350690974
-77                       -5.551115123125783E-17   -31.02953616610431       5.731835889347328E-4
-77                       4.440892098500626E-16    -36.00000000000001       -2.3917069706084075E-4
-75.44012184029698        -1.214306433183765E-16   -41.37763227973134       -2.4574555146468843E-4
-75.43935625958234        -3.7470027081099033E-16  -41.397693208949306      -5.991960476338991E-4
-74.81379552774182        -2.220446049250313E-16   -26.734151771261857      8.639156894727721E-4
-77                       -2.498001805406602E-16   -30.1217416086539        2.2483609818033023E-4
-77                       2.220446049250313E-16    -25.454239155551434      -7.771453215423595E-4
-69.92920806276587        6.661338147750939E-16    -48.48777675398283       9.446931235512284E-4
-73.76362513766605        4.440892098500626E-16    -46.395828102379944      -2.6073299016484254E-4
-74.58195007432481        1.1102230246251565E-16   -50.60076483861959       -8.15046860285133E-4
-76.36729533836815        4.440892098500626E-16    -45.5379341571414        -3.2256968486679076E-4
-80.2918339133659         0                        -50.22359687500887       -3.1659820731112255E-4
-75.42700259493257        5.898059818321144E-17    -41.422860477150785      4.0384172739484504E-4
-81.63582088632305        4.440892098500626E-16    -51.013521061241875      -8.618134890434283E-5
-75.83750377945209        2.220446049250313E-16    -51.90934918867318       -2.718505663667753E-4
-68.05182615569545        0                        -56.34119739448725       6.063741297662051E-4
-68.48631008141989        0                        -56.187111388950704      2.6761265234436345E-4
-68.12894233378839        0                        -56.42551585419583       2.181712654356625E-4
-68.2508665890895         0                        -56.52346240301094       6.879603887537404E-4
-68.11293765388159        0                        -56.50576066750073       5.983125672990353E-4
-75.23072384419618        1.1102230246251565E-16   -53.93446828114145       2.710949060766225E-4
-75.33652107833072        0                        -59.265799671372186      1.1584647570550417E-5
-76.65141180894884        -2.220446049250313E-16   -57.35307071713845       9.049750111363771E-6
-79.32705825540833        0                        -59.83962168290782       -2.047955107891405E-4
-77.71454208266897        0                        -62.27395129303321       -3.005419135171685E-4
-80.5527040295358         -1.1102230246251565E-16  -52.48319413879874       6.129283002044704E-5
-68.35789545284368        -6.938893903907228E-18   -57.14863319628269       -7.794962866053876E-5
-72.31741400627274        -1.1102230246251565E-16  -63.657596934968716      1.128302911044792E-4
-74.68042395857019        4.440892098500626E-16    -52.49380190184905       -4.285395667829178E-4
-79.89609901103277        2.220446049250313E-16    -60.976698328344916      -8.220541228310497E-5
-78.30338277830955        0                        -65.87859002512364       -4.810505689147716E-5
-71.64751465276646        -3.3306690738754696E-16  -65.28543549905494       -7.728406375642286E-5
-61.85057537916039        4.440892098500626E-16    -54.532854854555836      7.461930865284165E-5
-65.33507186069397        4.440892098500626E-16    -52.16420427079966       9.988530443918171E-4
-67.89344277290346        1.3877787807814457E-17   -56.385129853319846      -1.6843302380615104E-4
-63.00519288533189        -5.551115123125783E-17   -59.74431969874691       7.074640062019129E-4
-61.98912625892169        0                        -58.71247397538755       0.0010670080913498638
-62.208183407685645       0                        -60.04542126934372       9.510266060903271E-4
-63.99782492268396        2.220446049250313E-16    -69.29643921445876       2.137707879682164E-4
-70.14296280559915        0                        -72.1673232615411        -2.838305792365218E-4
-70.77481710810477        2.220446049250313E-16    -65.93764879483966       2.4952252795368674E-5
-71.32560444550403        0                        -66.52173913043477       3.8039534866210234E-5
-72.19410100424386        0                        -75                      -1.542822740698392E-5
-76.97112321614492        2.220446049250313E-16    -68.8594286530585        1.9491449589366486E-4
-63.02412062482033        0                        -67.59616778856567       -5.429834111958481E-5
-66.30731881384199        2.220446049250313E-16    -63.097726285247305      -2.635606641162405E-4
-70.01152744293044        -1.1102230246251565E-16  -65.1282073164043        5.669764414453127E-5
-62.83915198142161        2.220446049250313E-16    -63.884820520536294      4.3543635542902663E-4
-28.70065195070128        0                        -29.68762128470871       4.528002302172258E-4
-29.246994194767094       0                        -31.23970322495943       -7.056207251418221E-4
-28.14822079241208        -2.220446049250313E-16   -30.97075817679138       3.065614851745074E-4
-28.069251978288722       -2.220446049250313E-16   -31.965731708670212      3.571012587252863E-4
-27.14495667790306        1.1102230246251565E-16   -29.45058827829179       -0.00201097007841419
-26.42386059559974        -1.1102230246251565E-16  -28.357966163745267      -4.1749137989003103E-4
-27.62957140233141        -1.1102230246251565E-16  -27.893208027642807      4.1808278262719657E-4
-75.4290640096579         -1.3877787807814457E-16  -41.400471966688976      -9.543468789427009E-5
-66.4704350496815         -4.440892098500626E-16   -49.175509929834064      3.040321740794428E-4
-26.826191142613926       1.1102230246251565E-16   -26.19723050188319       -0.0016387788310812633
-25.79433226977939        1.1102230246251565E-16   -27.404089714537996      0.0020599977840364877
-26.127355830541838       1.1102230246251565E-16   -25.01026842936192       -1.854102975930776E-4
-24.866767606604604       2.220446049250313E-16    -26.209521561015727      -2.132541346299196E-4
-28.57433022603419        0                        -36.64918522351098       -0.0017705885445553295
-28.433192476090404       0                        -36.70219891831915       -8.779162711378461E-4
-25.966935401683465       1.1102230246251565E-16   -29.14062009346043       -2.9613612379577323E-4
-26.15338483504464        0                        -31.01645572629529       7.626869100545164E-6
-26.516448287299006       0                        -34.213735803133495      9.565212742811552E-5
-26.50486965405858        -1.1102230246251565E-16  -33.62142941027458       6.471368908302303E-4
-72.95873893367657        2.220446049250313E-16    -27.64370006890828       1.9703319687610276E-4
-76.87413160020984        -1.6653345369377348E-16  -30.44612397312866       0.0016873279596436807
-77                       1.3877787807814457E-16   -30.61365358439098       0.0015722019164420929
-72.48958723552852        3.3306690738754696E-16   -24.967689469560817      -8.45691426934255E-4
-72.5754640772941         0                        -22.832841192763578      -0.0011658904050529204
-73.83410674276048        0                        -23.78959233425564       -7.734087443606513E-4
-75.02353019820731        0                        -21.657537383220884      -3.901394265066821E-4
-77                       0                        -22.181754531690025      5.679747880216143E-4
-77                       3.3306690738754696E-16   -20.565418848314224      8.554926223547216E-4
-71.40357137702159        0                        -23.682838378710322      -2.6723441347305124E-4
-114.84225726240518       1.1102230246251565E-16   19.589026831632516       5.1878218920256564E-5
-117                      -2.220446049250313E-16   18.50189788343398        3.8541305822107475E-5
-121.4834059018079        0                        16.677941345679898       3.619447331411447E-5
-125                      -2.220446049250313E-16   14.924155010860723       5.179020484212204E-5
-113                      2.220446049250313E-16    18.98122830909983        5.2516224813762336E-5
-112.05829219035287       1.1102230246251565E-16   18.78258192719929        2.129660245255244E-7
