% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 14 2025, 20:45
% Dimension:          3
% Nodes:              6848
% Expressions:        1
% Description:        Magnetic flux density, y-component
% Length unit:        in
% x                       y                        z                        mf.By (T)
-118.48667363839044       1.1102230246251565E-16   -36.3936194513974        0.2118700956324292
-117.82124165690897       -1.1102230246251565E-16  -34.01519218411346       0.21261506411011846
-116.60798015489394       1.1102230246251565E-16   -33.290209103136235      0.21290088889530798
-115.26552107788726       1.1102230246251565E-16   -34.04949752738648       0.21289043992147882
-114.33333333333314       5.551115123125783E-17    -38.6450064157331        0.21203262520016541
-114.02387371885179       1.1102230246251565E-16   -36.76159038422328       0.212495801791489
-115.08589798239097       1.1102230246251565E-16   -32.80596112290111       0.2130972866639282
-122.03735305271138       -1.1102230246251565E-16  -38.55359607217386       0.21083791577442676
-125.00000000000003       4.440892098500626E-16    -37.72202309663916       0.2108697342615514
-122.53791609218042       -4.440892098500626E-16   -35.26108627605559       0.21176251057650147
-125                      0                        -31.50902694607901       0.21271505563207588
-121                      -1.1102230246251565E-16  -33.30628588436476       0.2124340949807143
-121                      0                        -30.08594084983173       0.2131601335783146
-120.60641571687931       -2.220446049250313E-16   -35.189291909647764      0.21193395618577587
-120.7421390579461        4.440892098500626E-16    -38.70238079227542       0.2108768488095855
-113.12445277115273       -1.6653345369377348E-16  -37.90451903252363       0.2123343203521101
-122.64835335003717       0                        -64.1044654767165        0.20335842679498245
-119.74032562991755       2.220446049250313E-16    -64.5299719067728        0.20365123538499566
-124.99999999999999       -2.0872192862952943E-14  -68.78700384943986       0.2026626442033815
-120.4576866077347        -2.220446049250313E-16   -67.19521286142891       0.20322209113750364
-118.13843258425022       0                        -67.01388004344614       0.2038033699808849
-117.13205472201402       1.1102230246251565E-16   -65.40117557392158       0.2041830237976871
-115.06713369037504       -2.220446049250313E-16   -64.1715962322298        0.20509026940219993
-120.30605783681187       -6.661338147750939E-16   -69.02841692602702       0.20295720804668393
-116.63320135797984       1.1102230246251565E-16   -66.624907501298         0.20415145984455144
-118.78700384943984       0                        -75                      0.20307183845960244
-125                      -2.220446049250313E-16   -75                      0.20218793458782658
-111.17154569156486       1.1102230246251565E-16   -66.81567959472147       0.20640119301222265
-109.56579109057758       -4.996003610813204E-16   -66.80042039924062       0.20723616979557927
-112.15081892166211       -6.661338147750939E-16   -61.925492210800876      0.20648168303382372
-114.24596736586979       1.1102230246251565E-16   -44.78962456823817       0.2103238399126076
-112.94436211409618       0                        -39.93277241267547       0.21199969129150947
-112.68813404489595       1.1102230246251565E-16   -43.62094899604594       0.21115999117212633
-110.54379216211558       1.1102230246251565E-16   -42.79770181829122       0.21204666057563173
-113.17822986507561       1.1102230246251565E-16   -38.364695064107046      0.2123345104186437
-116.33234250920883       -6.661338147750939E-16   -46.15908723570052       0.2092433647965005
-117.4135214268561        0                        -51.10107408249941       0.2074566269424624
-116.6639555448792        4.440892098500626E-16    -49.24913103420232       0.20820143400229896
-115.50000355267534       0                        -50.13332079007682       0.20821710173629535
-115.80796111170659       2.220446049250313E-16    -47.670416653916774      0.2089502205494208
-115.41238831940956       2.220446049250313E-16    -51.4512621396078        0.20785509068406252
-112.91358505269957       1.1102230246251565E-16   -51.99518286984336       0.20865746524730144
-117.75865858496589       0                        -54.997037141074614      0.20621836507709787
-115.45299629176023       4.440892098500626E-16    -56.28927571340917       0.2064146420618338
-112.70016011383619       2.220446049250313E-16    -54.411655079242834      0.20805088833450808
-117.24530096800046       0                        -57.82115508773286       0.20558083450546766
-112.78223760299127       0                        -46.209622444737505      0.21037066846292962
-113.88238046389978       1.1102230246251565E-16   -49.408126885488514      0.20904796006600646
-112.77677754486615       0                        -57.54180250420104       0.20719430692205498
-111.959990772011         -1.1102230246251565E-16  -60.42679134701752       0.20695659043722384
-111.46585705191892       -1.1102230246251565E-16  -55.159184875389826      0.20839096255571551
-110.35875173382618       -2.220446049250313E-16   -58.63637214629878       0.20806468911976134
-112.73298791087255       2.220446049250313E-16    -38.156964540640374      0.21240174630249276
-109.70600108766102       1.1102230246251565E-16   -42.07998126195517       0.2124485792231945
-107.62180239619731       -4.163336342344337E-16   -39.196770389761696      0.21309715856660355
-110.46666735199875       -1.1102230246251565E-16  -48.373696070614926      0.21065876278693094
-109.32661969152134       1.1102230246251565E-16   -43.92712905485662       0.21220865752478396
-108.11128794231033       0                        -46.900832440991         0.21197899346892682
-110.07936985791243       0                        -50.57895886530575       0.21016348888636704
-108.85057620925177       0                        -48.1947702162343        0.21132950446805515
-109.59146688681764       5.551115123125783E-17    -42.57112019966943       0.2123711389958587
-109.62812653300176       2.220446049250313E-16    -54.62877237538952       0.20940324222908235
-106.90148719122269       1.1102230246251565E-16   -56.00493433443462       0.21046763335667212
-108.00979743391056       0                        -57.139135440703086      0.20960226530408393
-109.96793056019753       -2.220446049250313E-16   -61.13522112059667       0.20784660663728444
-109.11509437164727       0                        -65.91934944843688       0.20758567854322435
-107.64775719504709       -2.220446049250313E-16   -60.54713814587631       0.2091160116610983
-106.60551196336064       -2.220446049250313E-16   -61.53316888907882       0.2096360687368651
-108.17743076026227       -3.3306690738754696E-16  -59.661194129030676      0.20902938898600332
